beta,dataset_count,complexity_mean,complexity_sd,complexity_se
0.05,90,0.4708333333333333,0.019123992150553257,0.0020158457716976668
0.07,90,0.44964554398148143,0.020351635723419675,0.002145250766535159
0.09,90,0.4195891203703703,0.02137341903612683,0.0022529561846453814
0.11,90,0.3922309027777778,0.023139178331625123,0.0024390835570916787
0.13,90,0.350462962962963,0.0260331879273671,0.0027441389535226043
0.15,90,0.29416956018518514,0.0278036770707519,0.0029307648957124844
0.17,90,0.23522858796296295,0.028445739593975713,0.0029984442281665515
0.19,90,0.1749710648148148,0.027523996953082518,0.002901284022775846
0.21,90,0.12774884259259256,0.02128914589119349,0.002244073015192887
0.23,90,0.09605034722222222,0.021329245186327547,0.0022482998520325847
0.25,90,0.07660590277777778,0.02084590232681832,0.0021973510411383203
0.27,90,0.0638671875,0.016705633893673494,0.0017609284286971797
0.29,90,0.055280671296296297,0.013146283995536003,0.0013857400064437534
0.31,90,0.05134548611111111,0.012717079632850643,0.0013404978941848628
0.33,90,0.04468315972222222,0.01106424388799067,0.001166273709121581
0.35,90,0.04289641203703704,0.011359873526191755,0.0011974358091404792
0.37,90,0.04227430555555556,0.010784962026521305,0.0011368348160744205
0.39,90,0.04034288194444444,0.009939612505582332,0.0010477271525711086
